신천,信川,大邱、京畿有同朝鲜字车站。https://namu.wiki/w/%EC%8B%A0%EC%B2%9C%EC%97%AD
신천온천,信川温泉,
신청,新清,
신파청년,新坡青年,
신평,新坪,
신포,新浦,
신학포,新鹤浦,
신흥,新兴,
신흥동,新兴洞,
심계,深桂,
심촌청년,沈村青年,朝鲜字不完全对应。https://namu.wiki/w/%EC%B9%A8%EC%B4%8C%EC%97%AD?from=%EC%8B%AC%EC%B4%8C%EC%B2%AD%EB%85%84%EC%97%AD
심포리,深浦里,
십리동,十里洞,
십리평,十里坪,
쌍룡,双龙,
쌍방동,双芳洞,
쌍부,双富,
쌍암,双岩,
안변,安边,
안석,安石,
안주,安州,
안찬,安赞,
압록강,鸭绿江,
약수,药水,
양곡,旸谷,
양덕,阳德,
양동,养洞,京畿道有同朝鲜字不同汉字站。https://namu.wiki/w/%EC%96%91%EB%8F%99%EC%97%AD(%EC%9D%80%EB%A5%A0%EC%84%A0)
양승,阳胜,
양지,阳地,
양화,阳化,
어대진,渔大津,
어랑,渔郞,
어룡,鱼龙,
어미현,鱼尾岘,
어사,御史,
어파,渔波,
업억,业亿,
여해진,汝海津,
연목,椽木,
연사,延社,
연상,延上,
연수,延水,
연안,延安,
연안온천,延安温泉,
연암,延岩,
연중,延中,
연평,延坪,
연포,烟浦,
연풍,延丰,
염분,盐盆,
염전,盐田,
염주,盐州,
염탄,盐滩,
영광,荣光,
영수,永绥,
영양,迎阳,
예성강,礼成江,
오계,梧溪,
오구비,五구비,
오만동,乌蔓洞,
오몽리,吾梦里,
오일,五一,
오현,梧岘,
옥천,玉泉,
옥평,玉坪,
온성,稳城,
온수,温水,
온수평,温水坪,
온정,温井,
온풍,温丰,
옹진,瓮津,
왕장,旺场,
외동,外东,
요덕,耀德,
용강,龙冈,
운곡,云谷,
운대산,云台山,
운봉,云峰,
운송,云松,
운암,云岩,
운양,云阳,
운전,云田,
운중,云中,
운포,云浦,
운하,运河,
운흥,云兴,
운흥리,云兴里,
웅라,雄罗,
웅상,雄尚,
원리,院里,
원산,元山,
원창,院仓,
원평,院坪,
월봉,月峰,
월정리,月井里,
월탄,月滩,
위연청년,渭渊青年,
유곡,榆谷,
유선,游仙,
유평동,榆坪洞,
은률,殷栗,
은산,殷山,
은파,银波,
의주,义州,
이압,二鸭,
이천청년,伊川青年,
인산,仁山,
인평,仁平,
인흥,仁兴,
일신,日新,
일원,一院,
일탄,日炭,
자강삼강,慈江三江,
자산,慈山,
자성,慈城,
자양,紫阳,
자작,自作,
잠진리,箴津里,
장단,长湍,
장덕,长德,
장동,长洞,
장둔,长屯,
장림,长林,
장방,长芳,
장상,长上,
장상,长上,
장연,长渊,
장진,长津,
장천리,长川里,
장파,长坡,
장평,长坪,
장풍,长丰,
장흥,章兴,
재덕,载德,
재령,载宁,
적지,赤池,
전거리,全巨里,
전동,典洞,
전천,前川,
전탄,前滩,
전평,钱坪,
정광,精矿,
정도,鼎岛,
정문리,正门里,
정문촌,正门村,
정방,正方,https://namu.wiki/w/%EC%A0%95%EB%B0%A9%EB%A6%AC%EC%97%AD?from=%EC%A0%95%EB%B0%A9%EC%97%AD
정방리,正方里,
정봉,丁峰,
정주청년,定州青年,
정평,定平,
제남,济南,
제진,猪津,
조막산,造幕山,
조양탄광,朝阳炭矿,
종성,钟城,
주서,州西,
주의동,主义洞,
주초,朱草,
죽전,竹田,
중남,中南,
중도,中岛,
중봉,仲峰,
중성간,中城干,
중이,中二,
중촌,中村,
중평,中坪,
중화,中和,
증산,曾山,
증산리,甑山里,
지상,支上,
지수,智水,
지하리,支下里,
직동탄광,直洞炭矿,
진지,真池,
진평,津坪,
차가평,车家坪,
차령,车岭,
차호,遮湖,
창골,仓골,
창두,昌斗,
창원,昌原,
창평,苍坪,https://namu.wiki/w/창평역 显示两站均为“苍坪”
창흥,昌兴,
천결,泉决,
천곡,泉谷,
천동,泉洞,
천불산,千佛山,
천성,天圣,
천수,天水,
천을,天乙,
천태,天台,
철광,铁矿,
철송청년,铁松青年,
청강,晴江,
청계,清溪,
청남,清南,
청단,青丹,
청룡,青龙,
청수,青水,
청암,青岩,
청진조차장,清津操车场,
청진청년,清津青年,
청진항,清津港,
청천강,清川江,
청하,清下,
청학,青鹤,
초상,草上,
초평,草坪,
추동,楸洞,
축전,杻田,
취야,翠野,
칠골,칠골,
칠만산,七万山,
침교,砧桥,
침촌,沈村,
태백산성,太白山城,
태천,泰川,
태향,汰香,
택암,宅庵,
토령,土岭,
토성,土城,
통천,通川,
판교,板桥,
판막,板幕,
판문,板门,
팔영,八营,
팔원청년,八院青年,
팔흥,八兴,
평강,平康,
평남대안,平南大安 ,
평남서호,平南西湖,
평남신덕,平南新德,https://namu.wiki/w/%EC%8B%A0%EB%A0%B9%EB%A6%AC%EC%97%AD?from=%ED%8F%89%EB%82%A8%EC%8B%A0%EB%8D%95%EC%97%AD
평남온천,平南温泉,
평리,坪里,
평북운산,平北云山,
평산,平山,
평성,平城,
평양,平壤,
평양조차장,平壤操车场,
평천,平川,
폐무산,废茂山,
포치리,浦淄里,
포태,胞胎,
포평청년,葡坪青年,
포향,포향,
풍계,丰溪,
풍남,丰南,
풍년,丰年,
풍리,丰利,
풍산,丰山,
풍상,丰上,
풍양,丰阳,
풍어,丰渔,
풍인,丰仁,
풍정,丰井,
풍천,丰川,
피현,枇岘,
하경평,下境坪,
하기천,下岐川,
하단,下端,
하덕,荷德,
하면,下面,
하성,下圣,
하송흥,下松兴,
하신원,下新院,
하안,河岸,
하운승,下云承,
하초,下草,
하홍군,下洪君,
하황토,下黄土,
학산,鹤山,
학성,鹤城,
학송,鹤松,
학포,鹤浦,
학현,鹤岘,
한천,汉川,
한포,汗浦,
함가,咸家,
함북문암,咸北文岩,
함북신장,咸北新章,
함주,咸州,
함지원,咸地院,
함흥,咸兴,
함흥조차장,咸兴操车场,
합수,合水,
해산,海山,
해주,海州,
해주청년,海州青年,
향원,乡元,
향장,乡长,
향죽,香竹,
향하,香河,
허천,虚川,
현흥,玄兴,
형제,兄弟,
혜산청년,惠山青年,
홍군,洪君,
홍원,洪原,
홍의,洪仪,
홍현,红岘,
화대,花坮,
화도,花岛,
화암,花岩,
화전,桦田,
화천,货泉,
화평,和坪,
화풍,和丰,
황주,黄州,
황초령,黄草岭,
황파,黄坡,
황포,黄浦,
황해룡문,黄海龙门,
회령청년,会宁青年,
회안,桧安,
회양,桧阳,
회중,桧中,
후주청년,厚州青年,
후창,厚仓,
후평청년,后坪青年,
훈융,训戎,
흑교,黑桥,
흑령,黑岭,
흥남,兴南,
흥수,兴水,
흥암,兴岩,
희천청년,熙川青年,
